tau,window,fragmentation,stability,lifespan,reentry_rate,selfhood
0,2022-12,1.0000,0.0000,1.0000,0.0000,0
1,2023-01,0.9451,0.0000,1.0000,0.0000,0
2,2023-02,0.9396,0.0000,1.0000,0.0000,0
3,2023-03,0.9295,0.0000,1.0000,0.0000,0
4,2023-04,0.9295,0.0000,1.0000,0.0000,0
5,2023-05,0.9270,0.0000,1.0000,0.0000,0
6,2023-06,0.9185,0.0000,1.0000,0.0000,0
7,2023-07,0.9195,0.0000,1.0000,0.0000,0
8,2023-08,0.9210,0.0000,1.0000,0.0000,0
9,2023-09,0.9215,0.0000,1.0000,0.0000,0
10,2023-10,0.9316,0.0000,1.0000,0.0000,0
11,2023-11,0.9443,0.0000,1.0000,0.0000,0
12,2023-12,0.9560,0.0000,1.0000,0.0000,0
13,2024-01,0.9288,0.0000,1.0000,0.0000,0
14,2024-02,0.9224,0.0000,1.0000,0.0000,0
15,2024-03,0.9083,0.0000,1.0000,0.0000,0
16,2024-04,0.8968,0.0000,1.0000,0.0000,0
17,2024-05,0.9195,0.0000,1.0000,0.0000,0
18,2024-06,0.9174,0.0000,1.0000,0.0000,0
19,2024-07,0.9132,0.0000,1.0000,0.0000,0
20,2024-08,0.9097,0.0000,1.0000,0.0000,0
21,2024-09,0.9079,0.0000,1.0000,0.0000,0
22,2024-10,0.9114,0.0000,1.0000,0.0000,0
23,2024-11,0.9124,0.0000,1.0000,0.0000,0
24,2024-12,0.9153,0.0000,1.0000,0.0000,0
25,2025-01,0.9139,0.0000,1.0000,0.0000,0
26,2025-02,0.9148,0.0000,1.0000,0.0000,0
27,2025-03,0.9207,0.0000,1.0000,0.0000,0
28,2025-04,0.9207,0.0000,1.0000,0.0000,0
29,2025-05,0.9224,0.0000,1.0000,0.0000,0
30,2025-06,0.9168,0.0000,1.0000,0.0000,0
31,2025-07,0.9151,0.0000,1.0000,0.0000,0
32,2025-08,0.9085,0.0000,1.0000,0.0000,0
