tau,window_id,active_journeys,components,fragmentation,presence_ratio,status,carries,drifts,spawns,ruptures,reentries
0,2022-12,166,1,0.0060,1.0000,UNIFIED,0,0,166,0,0
1,2023-01,94,1,0.0106,1.0000,UNIFIED,0,94,0,72,0
2,2023-02,173,7,0.0405,0.9364,UNIFIED,0,94,79,0,77
3,2023-03,176,29,0.1648,0.7330,UNIFIED,188,51,5,2,6
4,2023-04,178,1,0.0056,1.0000,UNIFIED,47,187,6,4,9
5,2023-05,177,3,0.0169,0.9887,UNIFIED,2,227,11,12,12
6,2023-06,181,5,0.0276,0.9724,UNIFIED,4,234,2,4,10
7,2023-07,183,2,0.0109,0.9945,UNIFIED,103,133,5,3,8
8,2023-08,185,1,0.0054,1.0000,UNIFIED,26,204,6,4,13
9,2023-09,188,3,0.0160,0.9894,UNIFIED,0,232,7,5,13
10,2023-10,186,31,0.1667,0.8118,UNIFIED,0,243,3,5,3
11,2023-11,29,1,0.0345,1.0000,UNIFIED,0,26,0,158,3
12,2023-12,96,1,0.0104,1.0000,UNIFIED,0,26,33,3,69
13,2024-01,157,1,0.0064,1.0000,UNIFIED,0,127,59,1,60
14,2024-02,165,150,0.9091,0.0121,FRAGMENTED,0,225,11,6,13
15,2024-03,167,31,0.1856,0.7485,UNIFIED,43,196,5,3,5
16,2024-04,169,46,0.2722,0.5385,PARTIAL,0,235,5,4,9
17,2024-05,173,2,0.0116,0.9942,UNIFIED,0,240,6,2,4
18,2024-06,180,2,0.0111,0.9944,UNIFIED,43,183,10,6,14
19,2024-07,181,3,0.0166,0.9724,UNIFIED,39,201,4,3,5
20,2024-08,184,1,0.0054,1.0000,UNIFIED,0,229,10,8,11
21,2024-09,187,2,0.0107,0.9947,UNIFIED,0,234,8,6,8
22,2024-10,191,68,0.3560,0.3298,PARTIAL,0,235,4,4,10
23,2024-11,192,3,0.0156,0.9844,UNIFIED,173,66,3,3,7
24,2024-12,194,1,0.0052,1.0000,UNIFIED,0,242,3,4,5
25,2025-01,197,173,0.8782,0.0305,FRAGMENTED,4,234,3,4,9
26,2025-02,199,8,0.0402,0.9548,UNIFIED,167,62,7,5,14
27,2025-03,199,2,0.0101,0.9950,UNIFIED,143,96,3,5,8
28,2025-04,200,1,0.0050,1.0000,UNIFIED,0,233,8,7,9
29,2025-05,201,7,0.0348,0.9552,UNIFIED,38,197,7,6,8
30,2025-06,198,1,0.0051,1.0000,UNIFIED,161,65,11,14,12
31,2025-07,202,87,0.4307,0.2772,FRAGMENTED,149,75,10,6,17
32,2025-08,205,24,0.1171,0.8244,UNIFIED,149,72,10,7,19
33,2025-09,210,79,0.3762,0.2571,FRAGMENTED,160,68,2,0,21
34,2025-10,209,20,0.0957,0.8565,UNIFIED,165,64,5,6,15
35,2025-11,212,204,0.9623,0.0094,FRAGMENTED,147,83,6,3,13
36,2025-12,215,1,0.0047,1.0000,UNIFIED,19,204,7,4,20
