min_shared,min_jaccard,num_journeys,num_edges,num_components,presence_ratio,fragmentation,median_presence,min_presence,unified_windows,partial_windows,fragmented_windows
2,0.0,507,63959,3,0.9961,0.0059,1.0000,0.0300,34,1,2
2,0.03,507,60077,6,0.9901,0.0118,1.0000,0.0300,34,1,2
2,0.05,507,55894,7,0.9882,0.0138,1.0000,0.0300,34,1,2
2,0.08,507,50505,11,0.9803,0.0217,1.0000,0.0300,34,1,2
3,0.0,507,63195,8,0.9862,0.0158,1.0000,0.0100,30,2,5
3,0.03,507,59863,8,0.9862,0.0158,1.0000,0.0100,30,2,5
3,0.05,507,55860,8,0.9862,0.0158,1.0000,0.0100,30,2,5
3,0.08,507,50493,11,0.9803,0.0217,1.0000,0.0100,30,2,5
4,0.0,507,61863,11,0.9803,0.0217,0.9833,0.0050,23,2,12
4,0.03,507,59290,11,0.9803,0.0217,0.9833,0.0050,23,2,12
4,0.05,507,55609,12,0.9783,0.0237,0.9833,0.0050,23,2,12
4,0.08,507,50422,12,0.9783,0.0237,0.9833,0.0050,23,2,12
5,0.0,507,60542,15,0.9724,0.0296,0.7447,0.0050,18,2,17
5,0.03,507,58623,15,0.9724,0.0296,0.7447,0.0050,18,2,17
5,0.05,507,55154,16,0.9704,0.0316,0.7447,0.0050,18,2,17
5,0.08,507,50236,18,0.9665,0.0355,0.7447,0.0050,18,2,17
