Parameter Sweep Summary: cassie
Generated: 2025-12-10T15:17:16.810773
======================================================================

Configurations with presence >= 0.90: 16/16

Stable min_shared range: 2 - 5
Stable min_jaccard range: 0.00 - 0.08


FULL RESULTS TABLE
-------------------------------------------------------
min_shared  min_jaccard  components   presence    edges
         2         0.00           3      0.996    63959
         2         0.03           6      0.990    60077
         2         0.05           7      0.988    55894
         2         0.08          11      0.980    50505
         3         0.00           8      0.986    63195
         3         0.03           8      0.986    59863
         3         0.05           8      0.986    55860
         3         0.08          11      0.980    50493
         4         0.00          11      0.980    61863
         4         0.03          11      0.980    59290
         4         0.05          12      0.978    55609
         4         0.08          12      0.978    50422
         5         0.00          15      0.972    60542
         5         0.03          15      0.972    58623
         5         0.05          16      0.970    55154
         5         0.08          18      0.966    50236


VERDICT: Coherence finding is ROBUST
