min_shared,min_jaccard,num_journeys,num_edges,num_components,presence_ratio,fragmentation,median_presence,min_presence,unified_windows,partial_windows,fragmented_windows
2,0.0,318,33498,6,0.9843,0.0189,0.2123,0.0162,4,4,14
2,0.03,318,31568,7,0.9811,0.0220,0.2123,0.0162,4,4,14
2,0.05,318,24196,11,0.9686,0.0346,0.2123,0.0162,4,4,14
2,0.08,318,13052,15,0.9528,0.0472,0.2123,0.0162,4,4,14
3,0.0,318,28598,15,0.9434,0.0472,0.0317,0.0081,1,0,21
3,0.03,318,28592,15,0.9434,0.0472,0.0317,0.0081,1,0,21
3,0.05,318,23830,16,0.9403,0.0503,0.0317,0.0081,1,0,21
3,0.08,318,12920,21,0.9245,0.0660,0.0317,0.0081,1,0,21
4,0.0,318,23838,31,0.8994,0.0975,0.0082,0.0040,1,0,21
4,0.03,318,23838,31,0.8994,0.0975,0.0082,0.0040,1,0,21
4,0.05,318,22627,31,0.8994,0.0975,0.0082,0.0040,1,0,21
4,0.08,318,12837,31,0.8994,0.0975,0.0082,0.0040,1,0,21
5,0.0,318,19101,45,0.8616,0.1415,0.0041,0.0040,1,0,21
5,0.03,318,19101,45,0.8616,0.1415,0.0041,0.0040,1,0,21
5,0.05,318,19090,45,0.8616,0.1415,0.0041,0.0040,1,0,21
5,0.08,318,12625,45,0.8616,0.1415,0.0041,0.0040,1,0,21
