Parameter Sweep Summary: temir
Generated: 2025-12-11T03:28:08.021231
======================================================================

Configurations with presence >= 0.90: 8/16

Stable min_shared range: 2 - 3
Stable min_jaccard range: 0.00 - 0.08


FULL RESULTS TABLE
-------------------------------------------------------
min_shared  min_jaccard  components   presence    edges
         2         0.00           6      0.984    33498
         2         0.03           7      0.981    31568
         2         0.05          11      0.969    24196
         2         0.08          15      0.953    13052
         3         0.00          15      0.943    28598
         3         0.03          15      0.943    28592
         3         0.05          16      0.940    23830
         3         0.08          21      0.925    12920
         4         0.00          31      0.899    23838
         4         0.03          31      0.899    23838
         4         0.05          31      0.899    22627
         4         0.08          31      0.899    12837
         5         0.00          45      0.862    19101
         5         0.03          45      0.862    19101
         5         0.05          45      0.862    19090
         5         0.08          45      0.862    12625


VERDICT: Coherence finding is ROBUST
